,latitude,longitude,Data source,CO2/CO2e emissions source,CO2/CO2e emissions (in tonnes per year),CO2 or CO2e
55,33.3386,44.3939,Simplemaps,City,,
56,41.3833,2.1834,Simplemaps,City,,
57,22.5804,88.3299,Simplemaps,City,,
58,41.805,123.45,Simplemaps,City,,
59,15.5881,32.5342,Simplemaps,City,,
60,18.53,73.85,Simplemaps,City,,
63,59.939,30.316,Simplemaps,City,,
64,22.33,91.8,Simplemaps,City,,
65,23.0489,113.7447,Simplemaps,City,,
66,24.6408,46.7727,Simplemaps,City,,
67,21.0333,105.85,Simplemaps,City,,
68,20.67,-103.33,Simplemaps,City,,
70,31.2,29.95,Simplemaps,City,,
71,30.67,104.07,Simplemaps,City,,
72,16.7834,96.1667,Simplemaps,City,,
73,33.5722,-112.0891,Simplemaps,City,,
74,34.275,108.895,Simplemaps,City,,
76,21.2,72.84,Simplemaps,City,,
77,23.0965,109.6091,Simplemaps,City,,
78,5.32,-4.04,Simplemaps,City,,
80,39.9272,32.8644,Simplemaps,City,,
81,25.67,-100.33,Simplemaps,City,,
83,32.05,118.78,Simplemaps,City,,
84,45.5,-73.5833,Simplemaps,City,,
85,26.58,106.72,Simplemaps,City,,
88,45.75,126.65,Simplemaps,City,,
90,-3.75,-38.58,Simplemaps,City,,
91,24.5204,117.67,Simplemaps,City,,
94,35.0951,129.01,Simplemaps,City,,
96,52.5218,13.4015,Simplemaps,City,,
97,36.7631,3.0506,Simplemaps,City,,
98,41.896,12.4833,Simplemaps,City,,
99,39.0194,125.7547,Simplemaps,City,,
100,6.275,-75.575,Simplemaps,City,,
101,34.5167,69.1833,Simplemaps,City,,
106,43.865,125.34,Simplemaps,City,,
107,33.6,-7.6164,Simplemaps,City,,
108,38.9228,121.6298,Simplemaps,City,,
109,26.46,80.32,Simplemaps,City,,
110,12.0,8.52,Simplemaps,City,,
111,32.08,34.77,Simplemaps,City,,
114,36.8,118.05,Simplemaps,City,,
115,21.5169,39.2192,Simplemaps,City,,
116,-1.2833,36.8167,Simplemaps,City,,
117,30.25,120.17,Simplemaps,City,,
118,-26.1496,28.3299,Simplemaps,City,,
120,45.47,9.205,Simplemaps,City,,
121,48.78,9.2,Simplemaps,City,,
122,25.07,102.68,Simplemaps,City,,
123,-6.8,39.2683,Simplemaps,City,,
125,26.9211,75.81,Simplemaps,City,,
126,37.875,112.5451,Simplemaps,City,,
127,50.1,8.675,Simplemaps,City,,
128,36.09,120.33,Simplemaps,City,,
129,-7.2492,112.7508,Simplemaps,City,,
131,27.9942,-82.4451,Simplemaps,City,,
132,36.675,116.995,Simplemaps,City,,
133,33.595,130.41,Simplemaps,City,,
134,-22.9,-47.1,Simplemaps,City,,
137,14.6504,121.03,Simplemaps,City,,
138,50.2604,19.02,Simplemaps,City,,
139,36.23,37.17,Simplemaps,City,,
141,50.4334,30.5166,Simplemaps,City,,
142,26.855,80.915,Simplemaps,City,,
143,30.01,31.19,Simplemaps,City,,
144,34.755,113.6651,Simplemaps,City,,
145,24.1521,120.6817,Simplemaps,City,,
146,40.6501,-73.9496,Simplemaps,City,,
147,7.38,3.93,Simplemaps,City,,
148,31.41,73.11,Simplemaps,City,,
149,26.08,119.3,Simplemaps,City,,
150,28.2,112.97,Simplemaps,City,,
151,14.7158,-17.4731,Simplemaps,City,,
152,38.4361,27.1518,Simplemaps,City,,
153,27.8504,112.9,Simplemaps,City,,
154,36.056,103.792,Simplemaps,City,,
156,43.075,141.34,Simplemaps,City,,
157,24.45,118.08,Simplemaps,City,,
158,-2.22,-79.92,Simplemaps,City,,
159,5.4136,100.3294,Simplemaps,City,,
160,36.27,59.57,Simplemaps,City,,
161,33.5,36.3,Simplemaps,City,,
162,35.8668,128.607,Simplemaps,City,,
163,21.17,79.09,Simplemaps,City,,
164,40.7503,120.83,Simplemaps,City,,
165,38.05,114.48,Simplemaps,City,,
166,36.8028,10.1797,Simplemaps,City,,
167,48.2,16.3666,Simplemaps,City,,
168,43.85,126.55,Simplemaps,City,,
169,15.6167,32.48,Simplemaps,City,,
170,-6.95,107.57,Simplemaps,City,,
171,-6.2173,106.9723,Simplemaps,City,,
172,49.5004,8.47,Simplemaps,City,,
173,28.68,115.88,Simplemaps,City,,
174,28.02,120.6501,Simplemaps,City,,
175,40.7498,-73.7976,Simplemaps,City,,
178,3.4,-76.5,Simplemaps,City,,
179,40.84,14.245,Simplemaps,City,,
180,38.2871,141.0217,Simplemaps,City,,
182,19.05,-98.2,Simplemaps,City,,
183,32.8925,13.18,Simplemaps,City,,
184,41.3117,69.2949,Simplemaps,City,,
185,23.132,-82.3642,Simplemaps,City,,
186,30.7804,106.13,Simplemaps,City,,
188,22.82,108.32,Simplemaps,City,,
189,-1.45,-48.48,Simplemaps,City,,
190,25.625,85.13,Simplemaps,City,,
191,18.4701,-69.9001,Simplemaps,City,,
192,43.805,87.575,Simplemaps,City,,
193,34.88,117.57,Simplemaps,City,,
194,40.3953,49.8622,Simplemaps,City,,
195,5.55,-0.2167,Simplemaps,City,,
196,37.5304,121.4,Simplemaps,City,,
197,3.58,98.65,Simplemaps,City,,
198,-17.7539,-63.226,Simplemaps,City,,
199,34.28,117.18,Simplemaps,City,,
200,33.9381,-117.3948,Simplemaps,City,,
201,35.08,118.33,Simplemaps,City,,
202,38.6358,-90.2451,Simplemaps,City,,
204,10.73,-71.66,Simplemaps,City,,
205,29.3697,47.9783,Simplemaps,City,,
206,26.4282,50.0997,Simplemaps,City,,
207,45.5371,-122.65,Simplemaps,City,,
208,20.05,110.32,Simplemaps,City,,
210,40.6522,109.822,Simplemaps,City,,
211,31.85,117.28,Simplemaps,City,,
212,22.7151,75.865,Simplemaps,City,,
214,15.3547,44.2066,Simplemaps,City,,
216,18.541,-72.336,Simplemaps,City,,
217,20.83,106.6801,Simplemaps,City,,
218,33.6361,116.9789,Simplemaps,City,,
219,33.0004,112.53,Simplemaps,City,,
220,44.4334,26.0999,Simplemaps,City,,
221,29.88,121.55,Simplemaps,City,,
222,4.0604,9.71,Simplemaps,City,,
223,39.6243,118.1944,Simplemaps,City,,
224,23.0,120.2,Simplemaps,City,,
225,40.08,113.3,Simplemaps,City,,
226,-25.2964,-57.6415,Simplemaps,City,,
227,34.75,72.35,Simplemaps,City,,
228,-27.455,153.0351,Simplemaps,City,,
229,33.6,73.04,Simplemaps,City,,
230,38.5667,-121.4683,Simplemaps,City,,
231,33.872,35.5097,Simplemaps,City,,
232,37.3021,-121.8489,Simplemaps,City,,
233,53.9,27.5666,Simplemaps,City,,
234,35.03,135.75,Simplemaps,City,,
235,10.96,-74.8,Simplemaps,City,,
236,28.4772,-81.3369,Simplemaps,City,,
237,34.1299,118.7734,Simplemaps,City,,
238,10.23,-67.98,Simplemaps,City,,
240,22.31,73.18,Simplemaps,City,,
241,-3.1,-60.0,Simplemaps,City,,
242,34.4504,115.65,Simplemaps,City,,
243,31.58,120.3,Simplemaps,City,,
244,-2.98,104.75,Simplemaps,City,,
245,50.8333,4.3333,Simplemaps,City,,
246,51.45,7.0166,Simplemaps,City,,
248,23.25,77.41,Simplemaps,City,,
249,40.82,111.66,Simplemaps,City,,
251,34.68,112.4701,Simplemaps,City,,
252,-23.9537,-46.3329,Simplemaps,City,,
253,30.6501,113.16,Simplemaps,City,,
255,34.0253,-6.8361,Simplemaps,City,,
256,-20.324,-40.366,Simplemaps,City,,
258,-18.9166,47.5166,Simplemaps,City,,
259,11.0,76.95,Simplemaps,City,,
260,46.58,125.0,Simplemaps,City,,
261,31.7503,116.48,Simplemaps,City,,
262,30.82,108.4,Simplemaps,City,,
263,47.5,19.0833,Simplemaps,City,,
264,45.0704,7.67,Simplemaps,City,,
266,30.9278,75.8723,Simplemaps,City,,
267,39.1412,-84.506,Simplemaps,City,,
268,6.69,-1.63,Simplemaps,City,,
269,40.7834,-73.9662,Simplemaps,City,,
270,47.345,123.99,Simplemaps,City,,
271,41.115,122.94,Simplemaps,City,,
273,24.965,121.2168,Simplemaps,City,,
274,36.58,114.48,Simplemaps,City,,
275,36.2,117.1201,Simplemaps,City,,
276,32.7,51.7,Simplemaps,City,,
277,39.1239,-94.5541,Simplemaps,City,,
278,3.8667,11.5167,Simplemaps,City,,
279,23.37,116.67,Simplemaps,City,,
280,27.1704,78.015,Simplemaps,City,,
281,21.2,110.38,Simplemaps,City,,
283,19.2502,73.1602,Simplemaps,City,,
284,9.0833,7.5333,Simplemaps,City,,
285,-17.8178,31.0447,Simplemaps,City,,
287,30.3704,113.44,Simplemaps,City,,
288,22.84,89.56,Simplemaps,City,,
289,36.7204,119.1001,Simplemaps,City,,
290,32.5,-117.08,Simplemaps,City,,
292,32.1304,114.07,Simplemaps,City,,
293,28.88,105.38,Simplemaps,City,,
294,-31.955,115.84,Simplemaps,City,,
295,19.3304,-99.67,Simplemaps,City,,
296,17.73,83.305,Simplemaps,City,,
297,53.83,-1.58,Simplemaps,City,,
298,34.68,135.17,Simplemaps,City,,
300,30.2,71.455,Simplemaps,City,,
301,10.015,76.2239,Simplemaps,City,,
302,-34.858,-56.1711,Simplemaps,City,,
303,32.1604,74.185,Simplemaps,City,,
304,-22.9,-43.1,Simplemaps,City,,
305,25.92,114.95,Simplemaps,City,,
306,43.78,11.25,Simplemaps,City,,
307,24.28,109.25,Simplemaps,City,,
308,12.65,-8.0,Simplemaps,City,,
309,9.5315,-13.6802,Simplemaps,City,,
310,40.2,29.07,Simplemaps,City,,
311,21.15,-101.7,Simplemaps,City,,
312,36.7335,-76.0435,Simplemaps,City,,
313,20.0004,73.78,Simplemaps,City,,
314,41.8654,123.87,Simplemaps,City,,
315,29.03,111.68,Simplemaps,City,,
316,36.3355,127.425,Simplemaps,City,,
317,35.2079,-80.8304,Simplemaps,City,,
318,11.55,104.9166,Simplemaps,City,,
319,29.5804,105.05,Simplemaps,City,,
320,24.9,118.58,Simplemaps,City,,
321,50.0,36.25,Simplemaps,City,,
322,25.38,68.375,Simplemaps,City,,
323,40.8501,-73.8662,Simplemaps,City,,
324,6.1319,1.2228,Simplemaps,City,,
325,-31.4,-64.1823,Simplemaps,City,,
326,32.63,116.98,Simplemaps,City,,
327,25.2866,51.533,Simplemaps,City,,
328,3.1667,101.7,Simplemaps,City,,
329,-25.9553,32.5892,Simplemaps,City,,
330,10.52,7.44,Simplemaps,City,,
331,35.171,126.9104,Simplemaps,City,,
332,35.53,139.705,Simplemaps,City,,
333,13.71,-89.203,Simplemaps,City,,
334,30.5333,105.5333,Simplemaps,City,,
335,45.77,4.83,Simplemaps,City,,
336,35.8004,50.97,Simplemaps,City,,
