,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Total annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
2820,China,Huaneng Qinling power station,125,retired,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,34.53322,109.9381,0.770239747,4.9055802360000005,,,,
2830,China,Huaneng Qufu power station,225,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,35.6078,116.9339,1.257019415,2.51403883,2.51403883,2.51403883,2.51403883,2.51403883
2832,China,Huaneng Rizhao Lanshan power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,35.121,119.318,2.6961962319999997,0.0,,,,
2836,China,Huaneng Ruijin power station,350,Operating,Operating,Operating,Operating,Operating,Supercritical,ANTH,25.92441,115.1028,1.784106639,3.568213278,3.568213278,3.568213278,3.568213278,3.568213278
2838,China,Huaneng Ruijin power station,1 000,construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,25.92425,115.1031,4.085145806,0.0,,,,
2840,China,Huaneng Shang'an power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,38.05729,114.1963,2.077055294,13.15890981,13.15890981,13.15890981,13.15890981,13.15890981
2846,China,Huaneng Shangdu power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.223690000000005,116.0293,2.9809729610000004,17.68509654,17.68509654,17.68509654,17.68509654,17.68509654
2854,China,Huaneng Shanghaimiao power station,1 000,permitted,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,38.3189,106.6405,4.085145806,0.0,,,,
2856,China,Huaneng Shantou power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,23.32556,116.7361,1.649865233,5.997799596,5.997799596,5.997799596,5.997799596,5.997799596
2860,China,Huaneng Shanyin power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,39.525999999999996,112.816,4.085145806,0.0,,,,
2862,China,Huaneng Shenneng Manzhouli Zhalainuor power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,49.443999999999996,117.76899999999999,2.549759163,0.0,,,,
2864,China,Huaneng Songyuan Cogen power station,80,Announced,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,45.12465,124.7972,0.407961466,0.0,,,,
2866,China,Huaneng Suzhou Cogen power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,31.33455,120.5433,0.37388269799999996,0.0,,,,
2868,China,Huaneng Taicang power station,320,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,31.656909999999996,121.1793,1.7598562480000002,9.185657668,9.185657668,9.185657668,9.185657668,9.185657668
2872,China,Huaneng Taihang power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,WSTBituminous,37.19791,113.4475,2.654112004,0.0,,,,
2874,China,Huaneng Tongchuan power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,34.8498,108.8884,2.792079625,5.58415925,5.58415925,5.58415925,5.58415925,5.58415925
2878,China,Huaneng Usu power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,44.3895,84.7098,2.80473508,0.0,,,,
2880,China,Huaneng Weinan cogeneration power station,350,construction,Not operating,Not operating,Not operating,Operating,Supercritical,Unknown,34.59107,109.4405,1.598829372,0.0,,,,0.0
2882,China,Huaneng Wuhai Cogen power station,200,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,39.706959999999995,106.8297,1.117350591,2.234701182,2.234701182,2.234701182,2.234701182,2.234701182
2884,China,Huaneng Wuhai Haibowan power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,39.31739,106.865,0.62313783,5.638322982,,,,
2892,China,Huaneng Wulashan power station,75,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,40.651109999999996,108.7678,0.460058575,3.045905046,,,,
2899,China,Huaneng Wuzhong Taiyangshan power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,37.451,106.227,1.40236754,0.0,,,,
2901,China,Huaneng Xianrendao power station,50,operating,Not operating,Operating,Operating,Operating,Subcritical,Unknown,40.15821,122.0426,0.257850136,0.0,,0.0,0.0,0.0
2903,China,Huaneng Xinhua Daqing power station,50,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,46.13508,124.601,0.306705716,2.90207064,,,,
2909,China,Huaneng Xining power station,350,Operating,Operating,Operating,Operating,Operating,Supercritical,Unknown,36.6288,101.6288,1.598829372,3.197658744,3.197658744,3.197658744,3.197658744,3.197658744
2911,China,Huaneng Xishangzhuang power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,WSTBituminous,37.82201,113.4247,2.654112004,0.0,,,,
2913,China,Huaneng Yakeshi Huiliuhe power station,55,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,49.283640000000005,120.8357,0.330907675,0.66181535,0.66181535,0.66181535,0.66181535,0.66181535
2917,China,Huaneng Yan'an power station,660,construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Bituminous,35.82674,109.3021,2.654112004,0.0,,,,
2921,China,Huaneng Yangliuqing power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,39.15122,117.0383,1.9248427719999999,6.89559059,6.89559059,6.89559059,6.89559059,6.89559059
2925,China,Huaneng Yangliuqing power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,39.15213,117.0383,2.4527901180000002,0.0,,,,
2928,China,Huaneng Yangluo power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,30.693890000000003,114.5431,1.714394846,12.80765064,12.80765064,12.80765064,12.80765064,12.80765064
2934,China,Huaneng Yangluo power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,30.6939,114.5431,4.085145806,0.0,,,,
2936,China,Huaneng Yangpu Cogen power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,19.75123,109.1655,1.598829372,0.0,,,,
2938,China,Huaneng Yangqu power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,38.058,112.67299999999999,1.598829372,0.0,,,,
2940,China,Huaneng Yantai Bajiao power station,670,Operating,Not operating,Not operating,Operating,Operating,Ultra-super,Bituminous,37.694520000000004,121.1274,2.6943258219999997,0.0,,,0.0,0.0
2942,China,Huaneng Yantai power station,50,Retired,Operating,Operating,Operating,Operating,Subcritical,Bituminous,37.53281,121.3149,0.306705716,3.9046810510000003,3.9046810510000003,3.9046810510000003,3.9046810510000003,3.9046810510000003
2949,China,Huaneng Yichun power station,350,Operating,Operating,Operating,Operating,Operating,Supercritical,Unknown,47.73855,128.7506,1.598829372,3.197658744,3.197658744,3.197658744,3.197658744,3.197658744
2951,China,Huaneng Yimin power station,500,Operating,Operating,Operating,Operating,Operating,Supercritical,Lignite,48.54972,119.7739,2.618729407,16.96060943,16.96060943,16.96060943,16.96060943,16.96060943
2959,China,Huaneng Yingcheng power station,50,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,30.91501,113.6606,0.245279012,1.8191526709999999,1.8191526709999999,1.8191526709999999,1.8191526709999999,1.8191526709999999
2961,China,Huaneng Yingkou Coastal power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,40.580890000000004,122.1913,1.7767779430000001,3.5535558860000003,3.5535558860000003,3.5535558860000003,3.5535558860000003,3.5535558860000003
2963,China,Huaneng Yingkou power station,320,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,40.30384,122.10600000000001,1.700601148,8.709426303999999,8.709426303999999,8.709426303999999,8.709426303999999,8.709426303999999
2967,China,Huaneng Yueyang power station,363,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,29.449790000000004,113.1623,2.074417763,12.32827174,12.32827174,12.32827174,12.32827174,12.32827174
2975,China,Huaneng Yuhuan power station,1 050,Operating,Operating,Operating,Operating,Operating,Ultra-super,Bituminous,28.11515,121.1391,4.644696007,18.57878403,18.57878403,18.57878403,18.57878403,18.57878403
2979,China,Huaneng Yushe power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,36.97775,112.9547,0.637403212,3.165036638,,,,
2985,China,Huaneng Zhalantun Cogen power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,47.948029999999996,122.77799999999999,1.6360954630000002,0.0,,,,
2987,China,Huaneng Zhanhua power station,125,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,37.684309999999996,118.111,0.766764291,1.814851756,,,,
2991,China,Huaneng Zhengning power station,660,permitted,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,35.2684,107.9756,2.6961962319999997,0.0,,,,
2997,China,Huaneng Zhunger Weijiamao power station,660,Operating,Not operating,Operating,Operating,Operating,Supercritical,Unknown,39.55872,111.3684,2.740850353,0.0,,0.0,0.0,0.0
2999,China,Huaneng Zhunger Weijiamao power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,39.575,111.361,2.80473508,0.0,,,,
3001,China,Huaneng Zuoquan power station,631,Operating,Operating,Operating,Operating,Operating,Ultra-super,WSTBituminous,37.068940000000005,113.3526,2.537491931,5.074983862,5.074983862,5.074983862,5.074983862,5.074983862
3003,China,Huangdao power station,135,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,36.03833,120.2194,0.8604943359999999,9.036225976,,,,
3009,China,Huanggang Paper Mill Cogen Power Station,150,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,30.434,114.87899999999999,0.764927749,0.0,,,,
3011,China,Huanghua Cangzhou power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,38.31,117.8786,2.792079625,11.51991134,11.51991134,11.51991134,11.51991134,11.51991134
3015,China,Huangjiaozhuang power station,200,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,28.71845,104.5562,1.274806424,0.0,,,,
3017,China,Huangling waste coal power station,50,Operating,Operating,Operating,Operating,Operating,Unknown,WSTCOAL,35.655770000000004,109.0618,0.271912402,0.543824804,0.543824804,0.543824804,0.543824804,0.543824804
3019,China,Huangling waste coal power station,300,operating,Operating,Operating,Operating,Operating,Subcritical,WSTCOAL,35.66035,108.9229,1.396039812,2.792079624,2.792079624,2.792079624,2.792079624,2.792079624
3023,China,Huangshi power station,50,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,30.2286,115.0752,0.311568915,2.9480865589999996,,,,
3034,China,Huangyuchuan power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,39.66702,111.2226,2.80473508,0.0,,,,
3038,China,Huantai power station,60,Operating,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,36.978840000000005,118.0399,0.360990191,0.0,,,,
3041,China,Huaqing IGCC power station,120,Shelved,Not operating,Not operating,Not operating,Not operating,IGCC,unknown,22.255010000000002,113.0683,0.5353516420000001,0.0,,,,
3045,China,Huarun Cangnan power station,1 036,Operating,Operating,Operating,Operating,Operating,Ultra-super,Bituminous,27.49742,120.6632,4.16615157,8.33230314,8.33230314,8.33230314,8.33230314,8.33230314
3049,China,Huarui Jiaokou Power Station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,WSTCOAL,37.00752,111.4506,1.573873659,0.0,,,,
3051,China,Huasheng Jiangquan Cogen power station,350,construction,Not operating,Not operating,Not operating,Not operating,Supercritical,WSTCOAL,34.945409999999995,118.31299999999999,1.573873659,0.0,,,,
3053,China,Huawei Hetian power station,135,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,37.167590000000004,79.90558,0.6884349740000001,1.3768699480000002,1.3768699480000002,1.3768699480000002,1.3768699480000002,1.3768699480000002
3057,China,Huayi Jinlong Cogen power station,100,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,44.450509999999994,84.96989,0.509951833,0.509951833,0.509951833,0.509951833,0.509951833,0.509951833
3059,China,Huayin Zhuzhou power station,125,Retired,Not operating,Not operating,Not operating,Not operating,Supercritical,ANTH,27.85809,113.1199,0.769926972,3.587041524,,,,
3063,China,Huayin Zhuzhou power station,1 000,Pre-permit,Not operating,Not operating,Not operating,Not operating,Ultra-super,ANTH,27.46687,113.1249,4.178666314,0.0,,,,
3065,China,Huayingshan power station,50,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,30.88826,107.0508,0.306705716,3.045905046,,,,
3071,China,Huayue Waste Coal power station,60,Operating,Operating,Operating,Operating,Operating,unknown,WSTCOAL,25.133329999999997,113.7833,0.326294882,0.652589765,0.652589765,0.652589765,0.652589765,0.652589765
3073,China,Huaze Aluminum power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,35.65862,110.6691,1.522952523,3.045905046,3.045905046,3.045905046,3.045905046,3.045905046
3077,China,Hubei Ezhou power station,330,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH/Bituminous,30.55177,114.64200000000001,1.850343043,9.775144402,9.775144402,9.775144402,9.775144402,9.775144402
3083,China,Hubei Suizhou power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,31.69,113.382,4.085145806,0.0,,,,
3087,China,Hubei Xingfu power station,60,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,30.191390000000002,112.6052,0.33520517699999997,1.005615532,1.005615532,1.005615532,1.005615532,1.005615532
3090,China,Huineng Changtan power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,39.60937,111.1878,2.6961962319999997,0.0,,,,
3092,China,Huineng power station,135,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,34.7337,111.0823,0.754211649,1.508423298,1.508423298,1.508423298,1.508423298,1.508423298
3094,China,Huizhou Cogen power station,330,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,22.75307,114.6268,1.675247775,3.35049555,3.35049555,3.35049555,3.35049555,3.35049555
3100,China,Hunan Chuangyuan power station,350,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,29.197370000000003,111.5597,1.998875186,0.0,,,,
3102,China,Hunan Lianyuan power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,27.766090000000002,111.8931,1.582518319,3.165036638,3.165036638,3.165036638,3.165036638,3.165036638
3104,China,Hunan Yongxing power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,WSTCOAL,26.125999999999998,113.116,0.36804686,0.0,,,,
3106,China,Hunan Yongxing power station,135,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,WSTCOAL,26.127,113.116,0.685328635,0.0,,,,
3108,China,Hunjiang power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,41.96637,126.4524,0.62313783,4.33945323,,,,
3114,China,Huolinhe Zhanute power station,200,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,45.40985,119.5967,1.083990168,7.929185032,7.929185032,7.929185032,7.929185032,7.929185032
3124,China,Huoqiu power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,32.16333,116.1703,2.80473508,0.0,,,,
3126,China,Huozhou power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,36.51827,111.6823,0.613411433,4.9055802360000005,,,,
3132,China,Huxian power station,50,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,34.341,108.94,0.306705716,0.0,,,,
3135,China,Huxian-2 power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,34.07419,108.6185,1.522952523,3.045905046,3.045905046,3.045905046,3.045905046,3.045905046
3137,China,Ili Nangang Khorgas Cogen power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTCOAL,44.14855,80.43717,0.25382542,0.507650841,0.507650841,0.507650841,0.507650841,0.507650841
3139,China,Ili Xintian Chemical power station,50,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,44.06203,81.18861,0.254975916,1.019903665,1.019903665,1.019903665,1.019903665,1.019903665
3143,China,Inner Hangjin power station,330,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTCOAL,39.919979999999995,109.1155,1.535643794,3.071287588,3.071287588,3.071287588,3.071287588,3.071287588
3145,China,Inner Mongolia Xilin power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,43.984429999999996,116.1306,1.625985251,3.251970502,3.251970502,3.251970502,3.251970502,3.251970502
3149,China,Inner Mongolia Xing'an power station,340,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,46.09431,122.0227,1.689218011,3.378436022,3.378436022,3.378436022,3.378436022,3.378436022
3151,China,Zhunger Zhujiaping power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,39.6052,111.3697,2.6961962319999997,0.0,,,,
3153,China,Jiagedaqi Cogen power station,80,construction,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,50.42725,124.1698,0.412560218,0.0,,,,
3155,China,Jiagedaqi Cogen power station,80,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,52.33526,124.7115,0.412560218,0.0,,,,
3156,China,Jiamusi Zhongheng Cogen power station,75,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,46.816829999999996,130.2887,0.382463875,0.382463875,0.382463875,0.382463875,0.382463875,0.382463875
3158,China,Jiamusi-1 power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,46.83222,130.4033,0.62313783,0.0,,,,
3162,China,Jiamusi-2 power station,50,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,46.83168,130.4042,0.306705716,3.045905046,,,,
3167,China,Jianbi power station,330,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,32.17693,119.5755,1.884653747,18.93187419,18.93187419,,,
3178,China,Jiangneng Shenwu power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,27.59947,113.7511,2.6961962319999997,0.0,,,,
3184,China,Jiangsu Guohua Chenjiagang power station,660,Operating,Operating,Operating,Operating,Operating,Supercritical,Unknown,34.4243,119.7976,2.740850353,5.481700706,5.481700706,5.481700706,5.481700706,5.481700706
3188,China,Jiangsu Guoxin Jingjiang power station,660,Operating,Operating,Operating,Operating,Operating,Ultra-super,Bituminous,32.03049,120.3831,2.654112004,5.308224008,5.308224008,5.308224008,5.308224008,5.308224008
3190,China,Jiangsu Guoxin Yancheng power station,135,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,33.39955,120.1172,0.742439355,1.48487871,1.48487871,1.48487871,1.48487871,1.48487871
3194,China,Jiangsu Guoxin Yancheng power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,33.40061,120.1171,1.573873659,0.0,,,,
3196,China,Jiangsu Jingshen Salt power station,30,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,33.52143,119.1132,0.165734346,0.33146869100000004,0.33146869100000004,0.33146869100000004,0.33146869100000004,0.33146869100000004
3198,China,Jiangsu Leeman Paper power station,30,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,31.7533,121.005,0.165734346,0.828671728,0.828671728,0.828671728,0.828671728,0.828671728
3201,China,Jiangsu Nanre Thermal power station,600,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,32.20795,118.7531,2.69806913,5.150859248,5.150859248,5.150859248,5.150859248,5.150859248
3203,China,Jiangsu Nantong power station,352,Retired,Operating,Operating,Operating,Not operating,Subcritical,Unknown,32.032140000000005,120.7696,2.04217308,16.16536484,16.16536484,16.16536484,16.16536484,
3209,China,Jiangsu OJI Paper Cogen power station,40,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,31.82678,120.9535,0.223470118,0.446940236,0.446940236,0.446940236,0.446940236,0.446940236
3211,China,Jiangsu Sheyang power station,138,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,33.8185,120.4633,0.859930205,5.392392463999999,,,,
3219,China,Jiangsu Zhenjiang power station,140,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,32.18584,119.2709,0.82916304,8.86414547,8.86414547,8.86414547,8.86414547,8.86414547
3225,China,Jiangtou Tongtai Junggar power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,40.03662,111.1427,1.598829372,0.0,,,,
3227,China,Jiangxi Selon Industrial Co Power Station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,28.94983,117.1716,0.279337648,0.279337648,0.279337648,0.279337648,0.279337648,0.279337648
3228,China,Jiangyin Cogen power station,50,retired,Operating,Operating,Not operating,Not operating,Unknown,Unknown,31.84364,120.4103,0.308095899,0.8924157070000001,0.8924157070000001,0.8924157070000001,,
3231,China,Jiangyin Sulong power station,138,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,31.91978,120.2052,0.817317854,6.525005475,6.525005475,6.525005475,6.525005475,6.525005475
3237,China,Jiangyin Xingcheng Steel Works power station,50,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,31.951079999999997,120.3237,0.276223909,0.552447819,0.552447819,0.552447819,0.552447819,0.552447819
3239,China,Jiangyou power station,50,retired,Operating,Operating,Operating,Operating,Subcritical,ANTH,31.80381,104.7681,0.318701606,8.284043812,8.284043812,8.284043812,8.284043812,8.284043812
3247,China,Guizhou E&M Manganese Jianhao power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,27.29577,109.0367,1.40236754,0.0,,,,
3249,China,Jiantao Cogen power station,60,Pre-permit,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,26.97198,112.6475,0.309420164,0.0,,,,
3250,China,Jiaozuo Aluminum power station,125,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,35.25077,113.3696,0.796754015,1.542955361,,,,
3254,China,Jiaozuo Aluminum power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,35.32682,113.4925,1.692415425,3.38483085,3.38483085,3.38483085,3.38483085,3.38483085
3256,China,Jiaozuo Bo'ai power station,135,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,35.22102,113.1022,0.84123607,5.392392463999999,,,,
3260,China,Jiaozuo Danhe power station,100,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,35.28204,113.0074,0.62313783,0.0,,,,
3262,China,Jiaozuo Danhe power station,1 000,Operating,Not operating,Not operating,Not operating,Operating,Ultra-super,Unknown,35.18849,112.8876,4.085145806,0.0,,,,0.0
3264,China,Jiaozuo Wuzhi-1 Cogen power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTBituminous,35.12455,113.3889,0.274977539,0.549955078,0.549955078,0.549955078,0.549955078,0.549955078
3266,China,Xinjiang Jiarun power station,350,operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,44.3122,86.41848,1.654538375,6.506735494,6.506735494,6.506735494,6.506735494,6.506735494
3274,China,Jiawang power station,135,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,34.4236,117.4332,0.84123607,0.0,,,,
3278,China,Jiaxing Xinjia'aisi Cogen power station,50,Operating,Operating,Operating,Operating,Operating,Unknown,WSTCOAL,30.84412,120.7193,0.271912402,0.522908465,0.522908465,0.522908465,0.522908465,0.522908465
3280,China,Jiaxing power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,30.628040000000002,121.1442,1.649865233,22.51081261,22.51081261,22.51081261,22.51081261,22.51081261
3288,China,Jiayuguan Aluminum power station,350,Operating,Operating,Operating,Operating,Operating,Supercritical,unknown,39.8461,98.21125,1.598829372,6.395317488,6.395317488,6.395317488,6.395317488,6.395317488
3292,China,Jiexiu Chongguang power station,350,construction,Not operating,Not operating,Not operating,Operating,Supercritical,WSTBituminous,37.10654,111.9956,1.573873659,0.0,,,,0.0
3294,China,SGCC Jiezhuang power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,35.378,116.699,2.549759163,0.0,,,,
3298,China,Jilin City Works power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,43.903859999999995,126.5978,0.318701606,0.626413501,0.626413501,0.626413501,0.626413501,0.626413501
3300,China,Jilin Dongguan power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,43.85622,126.5854,0.274977539,0.274977539,0.274977539,0.274977539,0.274977539,0.274977539
3301,China,Jilin Ethanol power station,31,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,43.94081,126.5376,0.170486074,0.170486074,0.170486074,0.170486074,0.170486074,0.170486074
3302,China,Jilin Qifeng Chemical Fiber captive power station,30,Pre-permit,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,43.97606,126.48200000000001,0.154710082,0.0,,,,
3303,China,Jilin Yuanyuan Cogen power station,80,Announced,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,43.80705,126.4789,0.412560218,0.0,,,,
3305,China,Jimsar Wucaiwan Beisan power station,660,construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,44.801390000000005,89.19278,2.6961962319999997,0.0,,,,
3309,China,Jimusaer Color Bay power station,2 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,44.0,89.181,8.499197211,0.0,,,,
3310,China,Jinan Northern Suburb Cogen power station,60,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,36.66667,116.9833,0.33146869100000004,0.33146869100000004,0.33146869100000004,0.33146869100000004,0.33146869100000004,0.33146869100000004
3311,China,Jinchuan power station,135,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,42.14723,86.51335,0.6884349740000001,1.3768699480000002,1.3768699480000002,1.3768699480000002,1.3768699480000002,1.3768699480000002
3313,China,Jinchuan Works power station,150,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,38.490590000000005,102.1679,0.857197423,1.714394846,1.714394846,1.714394846,1.714394846,1.714394846
3315,China,Jingdezhen power station,50,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,29.18719,117.085,0.311568915,5.662012087000001,,,,
3322,China,Jingling Sinopec power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,32.15436,118.9065,0.296129657,1.184518629,1.184518629,1.184518629,1.184518629,1.184518629
3325,China,Jinglong Fengzhen power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,40.4031,113.1539,2.792079625,5.58415925,5.58415925,5.58415925,5.58415925,5.58415925
3327,China,Jingmei Huazhou power station,350,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,35.52832,114.5756,1.598829372,0.0,,,,
3329,China,Jingmei Wuhai Jinghai Waste Coal power station,330,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTCOAL,39.65844,106.86200000000001,1.675247775,3.35049555,3.35049555,3.35049555,3.35049555,3.35049555
3331,China,Jingneng Chifeng Waste Coal power station,135,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTCOAL,42.28828,119.0537,0.742439355,1.48487871,1.48487871,1.48487871,1.48487871,1.48487871
3335,China,Jingneng Energy Huaning Cogen power station,150,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,41.01919,113.1591,0.838012943,1.6760258869999998,1.6760258869999998,1.6760258869999998,1.6760258869999998,1.6760258869999998
